objectid,length,name,oneway,fnode,tnode,,,,,,,,
"19,315",223,INDIAN, ,170963186169,170964185946,,,,,,,,
"2,449",226,CASHO MILL, ,169209187221,169155187439,,,,,,,,
"2,418",226,CASHO MILL, ,169229186580,169221186805,,,,,,,,
"19,461",226,PROSPECT, ,171014187301,171238187335,,,,,,,,
"19,275",227,PARK, ,171853185904,171626185914,,,,,,,,
"19,354",230,ORCHARD, ,170819186273,170865186494,,,,,,,,
"2,443",231,CLEVELAND, ,171025187194,171253187230,,,,,,,,
"2,336",233,WYOMING, ,171945186149,172168186217,,,,,,,,
"2,333",234,COLLEGE, ,171101185935,171099186168,,,,,,,,
"17,729",235,CHOATE, ,171647187176,171689186945,,,,,,,,
"19,326",235,WINSLOW, ,170642186273,170415186240,,,,,,,,
"2,417",239,CHAPEL, ,171860186560,171817186795,,,,,,,,
"17,733",239,AMHERST, ,169359187150,169395187384,,,,,,,,
"19,355",242,KENT, ,171097186444,170865186494,,,,,,,,
380,244,CHAPEL, ,171789186955,171744187194,,,,,,,,
"19,356",247,LOVETT, ,171668186455,171427186505,,,,,,,,
"19,272",247,O DANIEL, ,169802185687,169675185895,,,,,,,,
"2,318",249,CASHO MILL, ,169478185751,169391185984,,,,,,,,
"40,544",250,ELKTON,y,170690186692,170529186501,,,,,,,,
"1,193",252,ELKTON,y,170536186497,170699186689,,,,,,,,
"17,726",252,BENT, ,169793186965,169977187138,,,,,,,,
"19,278",253,PARK, ,171354185925,171101185935,,,,,,,,
"2,432",255,CASHO MILL, ,169221186805,169216187060,,,,,,,,
385,255,PAPER MILL, ,171666187336,"171,533,187,554",,,,,,,,
"19,433",256,VASSAR, ,169276186891,169271187147,,,,,,,,
"19,441",257,TANGLEWOOD, ,169793186965,169889187182,,,,,,,,
"19,384",258,SYPHERD, ,170464186655,170230186765,,,,,,,,
"19,474",259,VASSAR, ,169271187147,169294187401,,,,,,,,
"17,696",259,BRIAR, ,169882186584,170137186566,,,,,,,,
"17,713",259,CHELTENHAM, ,170268186848,170504186739,,,,,,,,
392,260,PAPER MILL, ,171533187554,171452187800,,,,,,,,
"19,416",261,DALLAM, ,170321186959,170550186834,,,,,,,,
"17,738",261,BAYLOR, ,169467187450,169234187492,,,,,,,,
"17,722",261,CHELTENHAM, ,170042186972,170268186848,,,,,,,,
